Key.media_previous           - media_gobackwards,f6
Key.media_play_pause         - media_pause,f7
Key.media_next               - media_goforward,f8
Key.media_volume_down        - volume_increase,f9
Key.media_volume_up          - volume_decrease,f10
Key.media_volume_mute        - volume_mute,f11
Key.print_screen             - take screenshort
Key.right                    - right arrow
Key.down                     - down arrow
Key.up                       - up arrow
Key.left                     - left arrow	
Key.ctrl_r                   - right ctrl button 
Key.alt_r                    - right alt button
Key.alt_l                    - left alt button
Key.ctrl_l                   - left ctrl button
Win                          - move to start menu
Key.shift_r                  - right shift button
Key.caps_lock                - capslock button
Key.tab                      - tab button
