"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","11,188,820","100"
"2","apple.com","4,360,992","100"
"3","microsoft.com","3,978,714","100"
"4","support.google.com","4,093,845","99"
"5","docs.google.com","2,109,129","99"
"6","youtube.com","16,799,548","99"
"7","www.blogger.com","23,691,535","99"
"8","play.google.com","2,211,731","99"
"9","mozilla.org","1,850,466","98"
"10","adobe.com","2,909,326","98"
"11","wordpress.org","9,152,368","98"
"12","en.wikipedia.org","5,303,043","98"
"13","linkedin.com","8,226,238","98"
"14","plus.google.com","12,990,274","98"
"15","accounts.google.com","2,522,518","98"
"16","vimeo.com","3,011,092","97"
"17","maps.google.com","4,374,183","97"
"18","youtu.be","3,563,446","97"
"19","drive.google.com","1,591,142","97"
"20","googleusercontent.com","2,098,746","97"
"21","sites.google.com","1,592,825","97"
"22","bp.blogspot.com","15,277,034","97"
"23","cloudflare.com","4,024,311","97"
"24","github.com","1,823,179","97"
"25","facebook.com","44,068,759","96"
"26","dailymotion.com","1,060,604","96"
"27","creativecommons.org","1,481,476","96"
"28","line.me","515,275","96"
"29","live.com","730,362","96"
"30","istockphoto.com","2,952,357","96"
"31","europa.eu","1,608,349","96"
"32","bbc.co.uk","1,389,441","96"
"33","amazon.com","3,905,842","96"
"34","vk.com","1,598,455","96"
"35","google.co.jp","621,435","95"
"36","t.me","411,019","95"
"37","whatsapp.com","1,268,376","95"
"38","google.co.uk","546,282","95"
"39","w3.org","1,040,347","95"
"40","paypal.com","855,582","95"
"41","uol.com.br","528,734","95"
"42","fr.wikipedia.org","507,597","95"
"43","news.google.com","665,322","95"
"44","pt.wikipedia.org","350,116","95"
"45","dropbox.com","902,420","95"
"46","www.yahoo.com","908,482","95"
"47","mail.google.com","413,163","95"
"48","mail.ru","481,078","95"
"49","feedburner.com","1,734,294","95"
"50","news.yahoo.com","561,815","95"
"51","google.es","403,419","95"
"52","msn.com","979,379","95"
"53","myspace.com","1,282,292","95"
"54","policies.google.com","995,701","95"
"55","nih.gov","980,987","95"
"56","slideshare.net","847,362","95"
"57","globo.com","376,125","95"
"58","reuters.com","705,006","95"
"59","bbc.com","615,698","95"
"60","cnn.com","1,176,314","95"
"61","wikimedia.org","1,321,941","95"
"62","medium.com","1,017,864","95"
"63","google.com.br","261,413","95"
"64","buydomains.com","1,199,870","95"
"65","washingtonpost.com","838,852","95"
"66","imdb.com","1,220,364","95"
"67","gstatic.com","565,874","95"
"68","theguardian.com","1,157,347","95"
"69","google.de","1,091,716","95"
